序号,日期,航煤90%回收温度,FI10201,TI10503,TE10310,TI10403,TI10406A,TI10408A,TI10409A,TI10411A,TI10412A,TI10413A,TI10414A,TI10425,PDI10404,TI10405,TI10417A,TI10419A,TI10421A,PDI10405,PI10602,FI10601,FI10706,FI10801,FI11006,FI20102,FI20105,FI20104,PI20301,FI20302,FI20301,TE20315,FI20501,TE20304,FI20402,FI20304,TE20302,FI20605,TE20305,TE20303,TE20402,PI20701,FI20701,TI20801,FI20901
1,2015-12-03 08:00:00',217,210.482,324.541,354.6,335.908,345.629,369.149,354.967,362.97,361.367,367.573,372.524,370.92,269.95,365.638,373.501,376.076,382.831,189.256,2.67601,142.202,20.9231,63.3331,46746.8,22.2868,185.996,16.9939,0.0276291,91.2832,2.00401,326.096,132.278,164,25.1067,9.57713,189.7,45.1838,206.096,192.452,196.7,1.06014,16.8366,50.2772,31.3949
2,'2015-12-03 12:00:00',214,209.874,324.085,352.533,335.099,344.36,368.151,354.512,362.37,361.47,367.44,372.19,372.06,267.889,366.631,373.512,375.439,382.12,189.289,2.66977,142.602,21.0109,63.5614,45878,24.7793,188.24,15.5715,0.0288,90.8292,1.99561,325.3,135.09,165.2,25.1291,10.8249,189.8,45.9553,198.8,191.867,195.2,1.05467,16.6129,51.5467,32.6451
3,'2015-12-03 15:00:00',222,210.161,325.304,353.325,335.952,344.808,369.294,354.678,363.114,361.86,368.01,372.45,373.02,269.365,367.524,373.967,376.031,382.483,188.075,2.67336,137.697,21.0101,66.4225,45277.5,24.9289,189.218,17.1088,0.0261288,93.4366,2.00376,324.575,134.842,165.2,24.8977,12.7367,191.025,45.7807,201.025,192.325,196.2,1.05963,15.902,52.5027,34.6584
4,2015-12-03 20:00:00',216,210.45,324.506,352.4,335.31,344.01,367.62,354.715,363.025,361.825,367.62,372.245,372.745,271.971,367.255,374.006,375.549,382.32,189.83,2.67195,134.336,21.0499,68.6239,46847.7,25.3513,189.303,17.2498,0.0310681,97.468,2.00109,321.1,135.058,164.6,24.8622,14.097,186.278,47.3225,203.744,193.2,196.7,1.05939,14.3578,53.0482,35.3476
5,'2015-12-04 00:00:00',213,209.898,325.155,356.3,334.95,343.77,367.607,355.598,366.373,363.994,370.624,375.45,375.368,265.051,367.32,375.917,375.913,381.893,187.957,2.67152,135.148,21.0688,69.5386,46090.1,25.9695,189.574,17.142,0.028075,94.3714,1.98357,320.132,129.107,163.9,24.9755,13.8108,191.034,47.3538,203.632,194.2,198.1,1.06092,14.1115,51.4863,35.292
6,'2015-12-04 04:00:00',214,209.943,324.556,356.3,333.6,341.772,363.03,354.042,364.016,362.58,369.21,374.194,374.606,265.808,367.354,375.906,375.784,381.647,184.518,2.67156,136.185,21.1332,71.681,46549.7,26.0141,188.512,18.1458,0.0292606,98.9808,2.02648,317.096,129.147,166.004,24.5472,13.6252,190.6,47.3923,211.586,196.904,199.4,1.06026,14.3727,51.9594,35.2912
7,2015-12-04 08:00:00',208,210.048,325.457,357.9,334.972,344.022,367.733,355.074,363.342,362.736,368.748,373.698,374.1,268.223,367.71,376.2,376.051,381.719,186.693,2.66866,135.415,20.8978,71.801,47290.4,25.9007,187.33,18.1232,0.0294504,98.3889,1.99115,318.044,127.629,164.5,25.0289,14.9328,187.7,47.6398,205.344,197.022,200.422,1.05686,13.9968,51.2469,36.7041
8,'2015-12-04 12:00:00',210,210.216,326.196,353.3,333.633,342.06,366.164,354.499,363.562,362.948,369.316,374.4,374.826,269.012,368.146,375.862,377.844,383.37,185.516,2.67154,131.152,21.0005,76.743,46076.3,26.3513,186.415,19.0987,0.0279363,98.7334,2.01871,314.578,135.954,164.3,25.0834,15.5479,182.878,48.8894,210.778,198.178,199.9,1.04477,11.3415,53.3618,36.6113
9,'2015-12-04 15:00:00',214,210.531,326.6,354.1,333.201,341.97,366.974,354.863,363.987,363.07,369.374,374.58,375.09,269.269,365.211,374.026,378.09,382.543,188.164,2.67294,131.196,21.0517,74.5725,46098.3,26.8778,186.253,18.9874,0.02834,94.7259,2.01704,316.461,135.031,163.28,25.2185,16.4558,184.42,52.9928,216,194.38,198.5,1.04912,13.1658,52.4715,40.1659
10,2015-12-04 20:00:00',227.6,210.763,325.905,358.8,335.73,344.769,369.185,355.535,363.609,363.219,369.575,374.905,375.104,270.381,364.636,373.71,376.426,383.086,192.983,2.67314,133.623,21.0667,70.7783,46114.2,26.9224,187.236,17.9337,0.0258222,96.4666,2.02221,322.413,133.815,166.813,25.0525,15.7419,182.4,51.3155,213.551,196.1,200.3,1.00525,13.4719,50.9339,37.7867
11,'2015-12-05 00:00:00',216,210.251,325.933,358.9,335.91,345.06,369.54,358.032,367.722,364.437,370.795,376.165,375.526,268.092,364.747,373.404,376.162,383.584,195.019,2.66678,136.711,21.0112,69.887,45592.7,26.8294,189.583,17.5965,0.026926,96.3745,1.99021,324.413,134.573,171.8,25.3875,10.402,193.362,51.5526,215.862,198.387,203.5,0.998389,12.7813,50.89,32.6375
12,'2015-12-05 04:00:00',216,211.284,325.834,358.8,335.985,345.06,368.711,357.891,367.59,363.999,370.57,376.509,375.45,268.594,364.29,373.3,375.58,383.374,196.767,2.67431,133.748,21.1125,66.9578,46652.6,25.1945,187.357,16.8362,0.0238877,92.3426,1.97981,325.27,135.189,174.7,24.7768,13.6649,191.8,52.3434,221.4,198.1,204.3,1.00064,12.1506,48.8687,36.9957
13,2015-12-05 08:00:00',226,210.15,324.838,360.4,336,345.511,369.27,357.972,367.559,364.127,370.62,376.215,375.51,265.517,364.11,373.288,374.699,382.647,195.613,2.6681,137.384,21.0428,67.076,46048.3,25.1063,184.4,16.8638,0.0238875,88.8123,1.99967,325.2,135.451,172.8,24.44,13.2817,192,52.0249,222.774,195.342,203.1,1.00334,11.6375,49.2281,36.9242
